User _ID,Product_ID,Product_Category,Purchase History,Rating
U0001,P018,Home Appliances,"[('P018', datetime.date(2024, 9, 7)), ('P050', datetime.date(2024, 7, 26))]",3.7
U0001,P050,Books,"[('P018', datetime.date(2024, 9, 7)), ('P050', datetime.date(2024, 7, 26))]",3.5
U0002,P006,Home Appliances,"[('P006', datetime.date(2024, 10, 6)), ('P017', datetime.date(2024, 3, 26))]",1.1
U0002,P017,Toys,"[('P006', datetime.date(2024, 10, 6)), ('P017', datetime.date(2024, 3, 26))]",4.8
U0003,P015,Books,"[('P015', datetime.date(2024, 11, 10)), ('P020', datetime.date(2024, 5, 29)), ('P002', datetime.date(2024, 3, 16))]",2.3
U0003,P020,Toys,"[('P015', datetime.date(2024, 11, 10)), ('P020', datetime.date(2024, 5, 29)), ('P002', datetime.date(2024, 3, 16))]",3.8
U0003,P002,Toys,"[('P015', datetime.date(2024, 11, 10)), ('P020', datetime.date(2024, 5, 29)), ('P002', datetime.date(2024, 3, 16))]",4.3
U0004,P049,Groceries,"[('P049', datetime.date(2024, 8, 24)), ('P021', datetime.date(2024, 3, 18)), ('P036', datetime.date(2024, 6, 7)), ('P003', datetime.date(2024, 6, 8)), ('P031', datetime.date(2024, 2, 25))]",1.3
U0004,P021,Books,"[('P049', datetime.date(2024, 8, 24)), ('P021', datetime.date(2024, 3, 18)), ('P036', datetime.date(2024, 6, 7)), ('P003', datetime.date(2024, 6, 8)), ('P031', datetime.date(2024, 2, 25))]",4.9
U0004,P036,Toys,"[('P049', datetime.date(2024, 8, 24)), ('P021', datetime.date(2024, 3, 18)), ('P036', datetime.date(2024, 6, 7)), ('P003', datetime.date(2024, 6, 8)), ('P031', datetime.date(2024, 2, 25))]",1.2
U0004,P003,Books,"[('P049', datetime.date(2024, 8, 24)), ('P021', datetime.date(2024, 3, 18)), ('P036', datetime.date(2024, 6, 7)), ('P003', datetime.date(2024, 6, 8)), ('P031', datetime.date(2024, 2, 25))]",3.5
U0004,P031,Home Appliances,"[('P049', datetime.date(2024, 8, 24)), ('P021', datetime.date(2024, 3, 18)), ('P036', datetime.date(2024, 6, 7)), ('P003', datetime.date(2024, 6, 8)), ('P031', datetime.date(2024, 2, 25))]",1.3
U0005,P035,Apparel,"[('P035', datetime.date(2024, 7, 9)), ('P002', datetime.date(2024, 7, 5))]",4.4
U0005,P002,Toys,"[('P035', datetime.date(2024, 7, 9)), ('P002', datetime.date(2024, 7, 5))]",2.4
U0006,P008,Books,"[('P008', datetime.date(2024, 7, 14)), ('P016', datetime.date(2024, 10, 26)), ('P047', datetime.date(2024, 7, 22)), ('P022', datetime.date(2024, 8, 22)), ('P004', datetime.date(2024, 8, 31))]",2.2
U0006,P016,Books,"[('P008', datetime.date(2024, 7, 14)), ('P016', datetime.date(2024, 10, 26)), ('P047', datetime.date(2024, 7, 22)), ('P022', datetime.date(2024, 8, 22)), ('P004', datetime.date(2024, 8, 31))]",2.4
U0006,P047,Apparel,"[('P008', datetime.date(2024, 7, 14)), ('P016', datetime.date(2024, 10, 26)), ('P047', datetime.date(2024, 7, 22)), ('P022', datetime.date(2024, 8, 22)), ('P004', datetime.date(2024, 8, 31))]",4.3
